Temps de jeu (en sec.);Buts espérés;Lancers
49483.0;9.97;76.0
56970.0;11.31;81.0
9662.0;1.27;17.0
37745.0;7.98;84.0
75785.0;15.74;130.0
67239.0;11.76;104.0
76122.0;20.14;193.0
807.0;0.02;1.0
66788.0;8.11;78.0
388.0;0.0;0.0
65337.0;13.91;124.0
54597.0;12.02;111.0
78088.0;13.98;171.0
50680.0;12.7;82.0
59031.0;8.13;92.0
47727.0;9.38;87.0
13552.0;1.68;27.0
48844.0;10.07;108.0
63567.0;14.34;136.0
16729.0;2.52;23.0
50151.0;6.11;63.0
34627.0;6.13;82.0
1176.0;0.06;0.0
64727.0;13.87;129.0
35017.0;8.28;107.0
60366.0;12.95;106.0
66513.0;15.23;177.0
26423.0;5.81;59.0
44833.0;11.54;69.0
54055.0;13.54;125.0
64422.0;13.29;110.0
71493.0;14.6;193.0
53502.0;9.85;93.0
47841.0;10.24;108.0
71056.0;14.71;116.0
50027.0;9.44;81.0
68631.0;10.83;108.0
34441.0;6.13;42.0
42976.0;7.16;80.0
57239.0;9.67;94.0
2691.0;0.57;1.0
26339.0;4.72;55.0
4772.0;0.83;3.0
5636.0;1.51;12.0
41958.0;6.7;68.0
32930.0;4.12;35.0
50565.0;9.3;71.0
70509.0;16.07;185.0
72287.0;12.77;109.0
63297.0;17.85;106.0
55282.0;11.15;96.0
19731.0;3.07;36.0
66333.0;13.26;106.0
66092.0;17.2;126.0
24922.0;5.76;39.0
66860.0;13.47;102.0
47574.0;10.1;116.0
3572.0;0.9;9.0
1151.0;0.05;1.0
28478.0;5.76;59.0
60476.0;9.83;84.0
712.0;0.0;0.0
60418.0;10.37;82.0
16786.0;3.15;43.0
46921.0;8.9;70.0
69329.0;8.65;89.0
26990.0;4.61;49.0
10767.0;0.7;5.0
67049.0;13.41;109.0
25521.0;4.81;49.0
42655.0;7.98;59.0
43921.0;7.13;59.0
70766.0;13.06;119.0
56680.0;15.09;119.0
1195.0;0.08;0.0
4021.0;0.66;3.0
45880.0;11.48;110.0
56736.0;8.22;69.0
45521.0;8.5;63.0
9715.0;1.55;21.0
25618.0;1.91;21.0
2103.0;0.17;3.0
59681.0;12.09;95.0
68843.0;14.19;101.0
26775.0;3.31;28.0
2066.0;0.93;7.0
63724.0;13.3;96.0
47218.0;10.12;97.0
32028.0;5.11;28.0
426.0;0.0;0.0
60664.0;13.04;100.0
35920.0;9.52;73.0
72542.0;14.57;135.0
18805.0;3.54;29.0
729.0;0.26;2.0
31747.0;3.81;38.0
74877.0;19.84;146.0
69604.0;15.44;124.0
16527.0;2.6;24.0
18971.0;5.2;42.0
75407.0;18.53;177.0
3515.0;1.15;10.0
13121.0;1.45;12.0
47632.0;7.66;53.0
51888.0;8.4;74.0
51580.0;10.45;71.0
67441.0;11.06;91.0
556.0;0.03;1.0
36832.0;6.79;67.0
44678.0;5.84;47.0
65793.0;18.96;174.0
21276.0;7.22;44.0
3059.0;0.37;4.0
6788.0;1.21;8.0
54092.0;9.58;75.0
65186.0;10.95;119.0
55272.0;14.73;119.0
70136.0;13.39;152.0
30421.0;3.97;48.0
60912.0;7.77;69.0
4530.0;0.4;7.0
11573.0;1.05;14.0
1472.0;0.0;0.0
48183.0;9.21;83.0
46935.0;6.12;65.0
987.0;0.02;0.0
60554.0;9.82;106.0
22030.0;4.74;36.0
66876.0;15.41;108.0
62114.0;14.08;112.0
1540.0;0.27;2.0
66005.0;15.75;159.0
22834.0;4.05;24.0
68704.0;15.77;138.0
10915.0;2.59;14.0
41316.0;7.16;70.0
15693.0;3.35;43.0
1095.0;0.3;3.0
39154.0;6.89;71.0
32936.0;5.84;65.0
59947.0;12.49;123.0
21405.0;3.05;37.0
665.0;0.01;1.0
2454.0;0.67;2.0
43007.0;9.07;51.0
32587.0;6.91;77.0
5150.0;0.54;6.0
58684.0;9.96;111.0
61276.0;12.58;114.0
38143.0;9.78;101.0
59987.0;12.98;126.0
16917.0;2.45;32.0
62057.0;10.99;70.0
60634.0;14.04;141.0
50300.0;6.42;73.0
62851.0;20.96;160.0
2620.0;0.68;3.0
49920.0;10.33;82.0
669.0;0.13;2.0
42017.0;6.45;67.0
5280.0;0.96;9.0
66658.0;10.56;114.0
58098.0;16.14;112.0
69401.0;9.31;109.0
73737.0;13.99;175.0
66281.0;14.46;121.0
67265.0;21.37;167.0
60014.0;10.22;98.0
47891.0;8.01;86.0
64358.0;11.9;108.0
43119.0;4.79;83.0
24203.0;4.83;47.0
77263.0;11.96;111.0
5043.0;0.64;10.0
61971.0;14.92;154.0
43219.0;10.8;72.0
54483.0;6.99;69.0
55309.0;10.86;123.0
28110.0;3.18;38.0
57258.0;13.91;116.0
59123.0;10.18;74.0
35420.0;6.03;46.0
5738.0;0.85;7.0
35814.0;6.32;56.0
1220.0;0.49;3.0
27312.0;4.19;34.0
64227.0;10.51;105.0
575.0;0.17;2.0
45044.0;7.42;60.0
64108.0;11.37;110.0
62986.0;11.57;118.0
85029.0;22.07;255.0
3897.0;0.94;7.0
2227.0;0.2;3.0
886.0;0.22;1.0
857.0;0.01;1.0
65975.0;11.15;98.0
42425.0;7.03;71.0
76822.0;27.27;247.0
64164.0;13.51;103.0
651.0;0.0;0.0
21135.0;2.63;27.0
8949.0;1.58;10.0
